page,group,subgroup,nreview,user,role,postcount,datecreated,hourcreated,message,reply
1,Honda,Honda Accord,15,Michaell,Moderator,219539,2019-11-12,17:57:16,"InternetUser101 said:Hi, can I have the MF, RV, and any incentives for a 2020 Accord Sport 1.5, Sport 2.0, EX-L 2.0, and Touring 2.0? 36/10 and zip is 11590. Thanks so much.How many cars are you shopping for? You seem to be all over the place with the requests, these last couple of days.Are you a serious shopper, or are you filling out a spreadsheet? Perhaps some test drives to figure out what you want, is in order. We've seen too many folks make a killer lease deal, only to hate the car they chose.We answer 200-300 lease questions each day, and we moderators have to use our time wisely to answer the questions that come in. ",Yes
1,Honda,Honda Accord,16,InternetUser101,Member,78,2019-11-12,18:39:06,"Michaell said: InternetUser101 said:Hi, can I have the MF, RV, and any incentives for a 2020 Accord Sport 1.5, Sport 2.0, EX-L 2.0, and Touring 2.0? 36/10 and zip is 11590. Thanks so much.How many cars are you shopping for? You seem to be all over the place with the requests, these last couple of days.Are you a serious shopper, or are you filling out a spreadsheet? Perhaps some test drives to figure out what you want, is in order. We've seen too many folks make a killer lease deal, only to hate the car they chose.We answer 200-300 lease questions each day, and we moderators have to use our time wisely to answer the questions that come in.I have a very flexible budget, but I want to prioritize the value I'll be getting from a lease rather than the absolute number I'll be paying, which is why I've been cross shopping so many different types of cars. I have a lease that is ending in 3 weeks, so I am trying to gather the data on all the vehicles I am interested in and crunch all the numbers beforehand before I go to any dealers because dealership visits are one of the things in life that I most despise doing. I work a 9 to 5 in an office so I have some time throughout the day while I am sitting at my desk to crunch the numbers and decide what my target numbers are for a specific car. I am a long time Honda buyer which is why I have asked for requests for an Accord, Passport, Pilot, TLX, and MDX, but I also saw from research that the Jeep GC has solid lease numbers, so I decided to add that to my short list of vehicles also. ",Yes
1,Honda,Honda Accord,17,InternetUser101,Member,78,2019-11-12,18:44:36,"In addition to that, a family member has a brand new Highlander that they bought and it is a fantastic car that I really enjoy driving and spending time inside, so that is the reason I was curious about the Rav4 and Highlander. As for all the Honda cars I have inquired about, I have driven so many Hondas over the past 10 years and loved all of them so much that I know I will be completely satisfied with whichever Honda product I pick. Part of the reason I've had so many is that leasing them is really cost efficient as well. ",No
1,Honda,Honda Accord,18,Par5zn2,Member,15,2019-11-16,20:09:45,Could I have money factor and incentives for the 2020 Sport 1.5? 92563 zip 36 months 12k per year. Thanks ,No
1,Honda,Honda Accord,19,kyfdx,Moderator,217095,2019-11-16,20:12:41,Par5zn2 said:Could I have money factor and incentives for the 2020 Sport 1.5? 92563 zip 36 months 12k per year. Thanks .00150 MF and 60% residual$500 incentive ,Yes
1,Honda,Honda Accord,20,Par5zn2,Member,15,2019-11-16,20:42:23,Thanks! ,No
1,Honda,Honda Accord,21,Travelinfool82,Member,8,2019-11-21,03:22:36,Could I have money factor/ residual for Honda Accord SL 15k/yr for 33544? ,No
1,Honda,Honda Accord,22,kyfdx,Moderator,217095,2019-11-21,14:08:54,Travelinfool82 said:Could I have money factor/ residual for Honda Accord SL 15k/yr for 33544?I don't see an SL trim ,Yes
1,Honda,Honda Accord,23,Travelinfool82,Member,8,2019-11-22,00:29:06,I meant an EX-L. Got my cars mixed up! ha!Could I have money factor/ residual for Honda Accord EX-L15k/yr for 33544? ,No
1,Honda,Honda Accord,24,kyfdx,Moderator,217095,2019-11-22,13:07:06,Travelinfool82 said:I meant an EX-L. Got my cars mixed up! ha!Could I have money factor/ residual for Honda Accord EX-L15k/yr for 33544?.00150 MF58%/57% residual for 1.5/2.0 engine$500 incentive ,Yes
1,Honda,Honda Accord,25,Norbert_S,Member,6,2019-11-25,03:12:54,"Hey There, Looking for MF and residual for 2020 Honda Accord EX-L Hybrid for 36 months/12K miles in zip code 07081 ",No
1,Honda,Honda Accord,26,Michaell,Moderator,219539,2019-11-25,06:45:17,"Norbert_S said:Hey There, Looking for MF and residual for 2020 Honda Accord EX-L Hybrid for 36 months/12K miles in zip code 07081.00215 and 56%No incentives Norbert_S said:Hey There, Looking for MF and residual for 2020 Honda Accord EX-L Hybrid for 36 months/12K miles in zip code 07081",Yes
1,Honda,Honda Accord,27,seven10design,Member,4,2019-11-25,19:11:09,Good afternoon. Looking for the MF and RV for an Accord Sport 2.0 36/10K in 11530 ,No
1,Honda,Honda Accord,28,Norbert_S,Member,6,2019-11-25,19:47:03,"Hey There, Looking for MF and residual for 2020 Honda Accord EX-L CVT 1.5 for 36 months/12K miles in zip code 07081 ",No
1,Honda,Honda Accord,29,kyfdx,Moderator,217095,2019-11-25,21:44:50,seven10design said:Good afternoon. Looking for the MF and RV for an Accord Sport 2.0 36/10K in 1153036/12.00150 MF and 59% residual$500 incentive ,Yes
1,Honda,Honda Accord,30,kyfdx,Moderator,217095,2019-11-25,21:45:16,"Norbert_S said:Hey There, Looking for MF and residual for 2020 Honda Accord EX-L CVT 1.5 for 36 months/12K miles in zip code 07081.00150 MF and 58% residual$500 incentive ",Yes
1,Honda,Honda Accord,31,518ADK,Member,8,2019-11-25,23:55:21,Hi. Looking for MF and residual for 2020 Honda Accord EX-L CVT 1.5 & 2.0 for 36 months/12k miles in zip code 28203. ,No
1,Honda,Honda Accord,32,Michaell,Moderator,219539,2019-11-26,06:40:19,518ADK said:Hi. Looking for MF and residual for 2020 Honda Accord EX-L CVT 1.5 & 2.0 for 36 months/12k miles in zip code 28203..00215 and 58% (1.5T) or 57% (2.0T)$500 incentive ,Yes
1,Honda,Honda Accord,33,bjmsg06,Member,8,2019-11-28,01:13:59,"Hello,Can I please have the MF, RV and Incentives/Loyalty Credits (if any) in 10314 for a 36/12 2020 Honda Accord Sport 1.5L CVT Lease… Thanks! ",No
1,Honda,Honda Accord,34,Michaell,Moderator,219539,2019-11-28,06:30:40,"bjmsg06 said:Hello,Can I please have the MF, RV and Incentives/Loyalty Credits (if any) in 10314 for a 36/12 2020 Honda Accord Sport 1.5L CVT Lease… Thanks!.00150 and 60%$500 incentive ",Yes
1,Honda,Honda Accord,35,neuronbob1,Member,5,2019-11-28,06:56:29,Also looking at 2020 Accord Sport 2.0T automatics since there’s one in the exact spec I’m looking for nearby.For lease: MF/RV and incentives (current Acura lessee) for 36/12 in 44146.For finance: any incentives? Thinking about financing instead of leasing this time around as well.Thanks! ,No
1,Honda,Honda Accord,36,Michaell,Moderator,219539,2019-11-28,08:11:41,neuronbob1 said:Also looking at 2020 Accord Sport 2.0T automatics since there’s one in the exact spec I’m looking for nearby.For lease: MF/RV and incentives (current Acura lessee) for 36/12 in 44146.For finance: any incentives? Thinking about financing instead of leasing this time around as well.Thanks!.00150 and 59%$500 incentive for lease or purchase ,Yes
1,Honda,Honda Accord,37,jarjoh,Member,72,2019-11-30,00:47:18,"2020 accord sport 2.0T - manualMF, residual, lease cash? 36/12kZip 33545Thank you! ",No
1,Honda,Honda Accord,38,Michaell,Moderator,219539,2019-11-30,02:30:53,"jarjoh said:2020 accord sport 2.0T - manualMF, residual, lease cash? 36/12kZip 33545Thank you!.00150 and 59%$500 incentive ",Yes
1,Honda,Honda Accord,39,John_AND,Member,4,2019-12-01,00:56:51,"Could I please get the residual, MF and incentives for:2020 Accord LX 1.5T15/36Zip:87109Thanks! ",No
1,Honda,Honda Accord,40,Michaell,Moderator,219539,2019-12-01,02:08:12,"John_AND said:Could I please get the residual, MF and incentives for:2020 Accord LX 1.5T15/36Zip:87109Thanks!.00150 and 57%$500 incentive ",Yes
1,Honda,Honda Accord,41,John_AND,Member,4,2019-12-03,00:07:25,"Could I also get the residual, MF and incentives for:2020 Accord LX 1.5T12/36Zip:87109Thanks again! ",No
1,Honda,Honda Accord,42,kyfdx,Moderator,217095,2019-12-03,14:27:04,"John_AND said:Could I also get the residual, MF and incentives for:2020 Accord LX 1.5T12/36Zip:87109Thanks again!.00150 MF and 59% residual$500 incentive ",Yes
1,Honda,Honda Accord,43,dadhwalridham,Member,4,2019-12-04,00:57:36,Can you share MF and residual values for 2020 Accord Hybrid EX-L and Touring with 12K/36 months for 19446 zip code. ,No
1,Honda,Honda Accord,44,santi84,Member,25,2019-12-04,12:45:54,"hi,looking for the December Honda accord 2.0T sport 3/36 in south flothanks ",No
1,Honda,Honda Accord,45,kyfdx,Moderator,217095,2019-12-04,13:55:22,dadhwalridham said:Can you share MF and residual values for 2020 Accord Hybrid EX-L and Touring with 12K/36 months for 19446 zip code..00215 MF56%/55% residual for EXL/Touring ,Yes
1,Honda,Honda Accord,46,kyfdx,Moderator,217095,2019-12-04,13:56:15,"santi84 said:hi,looking for the December Honda accord 2.0T sport 3/36 in south flothanks.00150 MF and 59% residual$500 incentive ",Yes
1,Honda,Honda Accord,47,medved55,Member,51,2019-12-05,16:37:36,"Hi, What's the MF and residual for an 2020 Accord EX hybrid 36/12k with Zipcode 92056 and 02150 ",No
1,Honda,Honda Accord,48,Michaell,Moderator,219539,2019-12-05,20:54:38,"medved55 said:Hi, What's the MF and residual for an 2020 Accord EX hybrid 36/12k with Zipcode 92056 and 02150.00215 and 58%No incentivesNationally ",Yes
1,Honda,Honda Accord,49,jdtrick,Member,18,2019-12-05,22:09:40,"Hello.. can I please have the mf, residual, and incentives for a 2020 Accord Touring 2.0T with 12k / 36m in 66224? ",No
1,Honda,Honda Accord,50,kyfdx,Moderator,217095,2019-12-05,23:13:04,"jdtrick said:Hello.. can I please have the mf, residual, and incentives for a 2020 Accord Touring 2.0T with 12k / 36m in 66224?.00215 MF and 58% residual$500 incentive ",Yes
1,Honda,Honda Accord,51,E_nice,Member,11,2019-12-06,03:51:17,"Hi, May i please have the MF, residual for an 2020 Accord Sport 2,0T 36/15k with Zipcode 10455 ",No
1,Honda,Honda Accord,52,kyfdx,Moderator,217095,2019-12-06,14:28:28,"E_nice said:Hi, May i please have the MF, residual for an 2020 Accord Sport 2,0T 36/15k with Zipcode 10455.00150 MF and 57% residual$500 incentive  ",Yes
1,Honda,Honda Accord,53,incity17,Member,1,2019-12-06,23:39:00,"Hi, May I please have the MF, residual for an 2020 Accord EX-L 1.5T 36/12k for Zipcode 01748. Any incentives? ",No
1,Honda,Honda Accord,54,HikerMan,Member,7,2019-12-07,04:33:21,"Hi. What gives? Reputable Honda Dealer said Dec. 1 2019 to Jan 6, 2020 Honda Sales Programs for Carolinas and neighboring States have LOUSY Money Factors ( .00215 or .00105) and Limited Loyalty ( Current Leasee) Cash while other parts of Country ( West Coast, Florida, etc.) have Money Factors ( .00075 to.00080) and Loyalty Cash up to $750.Any Idea if Any possibility of Honda &/or Honda Financial Services modifying MF & Cash Incentives for the Carolinas , in particular for 2020 Honda Accord EX-L? ",No
1,Honda,Honda Accord,55,kyfdx,Moderator,217095,2019-12-07,15:57:35,"incity17 said:Hi, May I please have the MF, residual for an 2020 Accord EX-L 1.5T 36/12k for Zipcode 01748. Any incentives?.00150 MF and 58% residual$500 incentive ",Yes
1,Honda,Honda Accord,56,kyfdx,Moderator,217095,2019-12-07,15:58:41,"HikerMan said:Hi. What gives? Reputable Honda Dealer said Dec. 1 2019 to Jan 6, 2020 Honda Sales Programs for Carolinas and neighboring States have LOUSY Money Factors ( .00215 or .00105) and Limited Loyalty ( Current Leasee) Cash while other parts of Country ( West Coast, Florida, etc.) have Money Factors ( .00075 to.00080) and Loyalty Cash up to $750.Any Idea if Any possibility of Honda &/or Honda Financial Services modifying MF & Cash Incentives for the Carolinas , in particular for 2020 Honda Accord EX-L?Region A vs. Region BSometimes, they have the same programs. But, right now, Region B has worse programs on Civic/Accord. They are the same for other models.I wouldn't hold my breath, waiting for it to change ",Yes
1,Honda,Honda Accord,57,HikerMan,Member,7,2019-12-07,16:51:32,Yep. That's what my Sales Mgr. told me. He doesn't understand it OR like it! They have a lot of 2020 Accord Inventory they'd like to move. He thinks ALL the industry is focused on Moving SUVs and believing Sedans are a dying breed. ,No
1,Honda,Honda Accord,58,jarjoh,Member,72,2019-12-09,17:28:04,"Hello there, can I please have lease pricing MF, Incentives, residual for 36 months, 12k/yr. zip 33545Accord Sport 1.5T - 6speed manualAccord Sport 2.0T - 6 speed manualThank you! ",No
1,Honda,Honda Accord,59,kyfdx,Moderator,217095,2019-12-09,21:58:35,"jarjoh said:Hello there, can I please have lease pricing MF, Incentives, residual for 36 months, 12k/yr. zip 33545Accord Sport 1.5T - 6speed manualAccord Sport 2.0T - 6 speed manualThank you!.00150 MF60%/59% residual for 1.5/2.0$500 incentive ",Yes
1,Honda,Honda Accord,60,jarjoh,Member,72,2019-12-09,22:20:51,"Michaell said: jarjoh said:2020 accord sport 2.0T - manualMF, residual, lease cash? 36/12kZip 33545Thank you!.00150 and 59%$500 incentiveHow about the 1.5T - 6spd manual? ",Yes
1,Honda,Honda Accord,61,kyfdx,Moderator,217095,2019-12-10,13:58:08,"jarjoh said: Michaell said: jarjoh said:2020 accord sport 2.0T - manualMF, residual, lease cash? 36/12kZip 33545Thank you!.00150 and 59%$500 incentiveHow about the 1.5T - 6spd manual?60% residual ",Yes
1,Honda,Honda Accord,62,kwarengi,Member,12,2019-12-12,17:49:55,"Hi, may I, please, have MF, incentives and residual for 2020 Accord EX 1.5T 36/12k and 36/15 with zip code 90066? Thanks! ",No
1,Honda,Honda Accord,63,kyfdx,Moderator,217095,2019-12-12,21:09:20,"kwarengi said:Hi, may I, please, have MF, incentives and residual for 2020 Accord EX 1.5T 36/12k and 36/15 with zip code 90066? Thanks!36/15.00150 MF and 56% residual$500 incentive ",Yes
1,Honda,Honda Accord,64,kwarengi,Member,12,2019-12-12,21:57:07,"And could you tell me all those for 36/12, please? ",No
1,Honda,Honda Accord,65,Michaell,Moderator,219539,2019-12-13,03:57:18,"kwarengi said:And could you tell me all those for 36/12, please?58% residual ",Yes
1,Honda,Honda Accord,66,carlove4cheap,Member,41,2019-12-14,09:13:01,"helloat 36/12, please provide MF/RES/Incent for 2020 accord sport 2.0 automatic and EX Hybrid in 12309almost there - thanks ",No
1,Honda,Honda Accord,67,kyfdx,Moderator,217095,2019-12-14,15:32:35,"carlove4cheap said:helloat 36/12, please provide MF/RES/Incent for 2020 accord sport 2.0 automatic and EX Hybrid in 12309almost there - thanksSport: .00150 MF and 59% residual. $500 incentiveEX Hybrid: .00215 MF and 58% residual ",Yes
1,Honda,Honda Accord,68,sandstorm3,Member,8,2019-12-18,03:39:56,"Hi, looking for MF/RV for the following, 36/15k, zip 23234Accord Hybrid TouringAccord Hybrid EX-LAccord Touring 2.0TThanks! ",No
1,Honda,Honda Accord,69,kyfdx,Moderator,217095,2019-12-18,13:49:46,"sandstorm3 said:Hi, looking for MF/RV for the following, 36/15k, zip 23234Accord Hybrid TouringAccord Hybrid EX-LAccord Touring 2.0TThanks!.00215 MF53% residual54% residual56% residual. $500 incentive ",Yes
1,Honda,Honda Accord,70,Jorgeeee,Member,11,2019-12-22,03:23:34,"Hello! Can i please get the MF, residual and incentives for a 2020 accord 1.5t sport? 36/12 in 90713. Thank you! ",No
1,Honda,Honda Accord,71,Michaell,Moderator,219539,2019-12-22,06:43:17,"Jorgeeee said:Hello! Can i please get the MF, residual and incentives for a 2020 accord 1.5t sport? 36/12 in 90713. Thank you! .00150 and 60%$500 incentives ",Yes
1,Honda,Honda Accord,72,srchn96,Member,68,2019-12-22,14:15:58,"Can I get MF, RV and any incentives on Touring 2.036/15, 36/2077068 ",No
1,Honda,Honda Accord,73,kyfdx,Moderator,217095,2019-12-22,14:57:48,"srchn96 said:Can I get MF, RV and any incentives on Touring 2.036/15, 36/207706836/15.00215 MF and 56% residual$500 incentive ",Yes
1,Honda,Honda Accord,74,shoefly12,Member,5,2019-12-22,15:46:23,"Hello! I'm looking for lease numbers on a 2020 Accord Sport 1.5. What is the money factor, residual, and incentives? 36/12k zip 34787. Thanks! ",No
1,Honda,Honda Accord,75,Michaell,Moderator,219539,2019-12-22,16:56:15,"shoefly12 said:Hello! I'm looking for lease numbers on a 2020 Accord Sport 1.5. What is the money factor, residual, and incentives? 36/12k zip 34787. Thanks! .00150 and 60%$500 incentive ",Yes
1,Honda,Honda Accord,76,Rao_Dallas,Member,4,2019-12-23,05:10:59,"Hello,, could you please let me know the MF, Residual and Incentive for Accord EX-L in Plano, Texas 75081 ",No
1,Honda,Honda Accord,77,kyfdx,Moderator,217095,2019-12-23,14:08:24,"Rao_Dallas said:Hello,, could you please let me know the MF, Residual and Incentive for Accord EX-L in Plano, Texas 750811.5 or 2.0 engine?Also, what term and mileage allowance? ",Yes
1,Honda,Honda Accord,78,Rao_Dallas,Member,4,2019-12-23,19:55:07,"I'm looking for Accord EX-L 1.5 engine, 12K miles allowance per year, 3 year term. Zip Code 75081 What is the money factor, residual, and incentives? 36month, 12kmiles per year ",No
1,Honda,Honda Accord,79,kyfdx,Moderator,217095,2019-12-23,20:21:14,"Rao_Dallas said:I'm looking for Accord EX-L 1.5 engine, 12K miles allowance per year, 3 year term. Zip Code 75081 What is the money factor, residual, and incentives? 36month, 12kmiles per year .00215 MF and 58% residual$500 incentive ",Yes
1,Honda,Honda Accord,80,fezzer0014,Member,2,2019-12-24,03:54:23," May I please have MF, residual, and incentives on 2020 Accord EX-L Hybrid with 10k/36m in 19380 ",No
1,Honda,Honda Accord,81,Michaell,Moderator,219539,2019-12-24,06:56:35,"fezzer0014 said:May I please have MF, residual, and incentives on 2020 Accord EX-L Hybrid with 10k/36m in 19380.00215 and 57%No incentives ",Yes
1,Honda,Honda Accord,82,Billy_123,Member,89,2019-12-25,02:25:55,"Hello! I'm looking for lease numbers on a 2020 Accord Sport 1.5. What is the money factor, residual, and incentives? 36/12k zip 22079. Thanks! ",No
1,Honda,Honda Accord,83,Michaell,Moderator,219539,2019-12-25,03:04:44,"Billy_123 said:Hello! I'm looking for lease numbers on a 2020 Accord Sport 1.5. What is the money factor, residual, and incentives? 36/12k zip 22079. Thanks!.00215 and 60%$500 incentive ",Yes
1,Honda,Honda Accord,84,srchn96,Member,68,2019-12-26,13:25:15,"kyfdx said: srchn96 said:Can I get MF, RV and any incentives on Touring 2.036/15, 36/207706836/15.00215 MF and 56% residual$500 incentiveThank you. Is there a loyalty incentive available? ",Yes
1,Honda,Honda Accord,85,kyfdx,Moderator,217095,2019-12-26,14:47:32,"srchn96 said: kyfdx said: srchn96 said:Can I get MF, RV and any incentives on Touring 2.036/15, 36/207706836/15.00215 MF and 56% residual$500 incentiveThank you. Is there a loyalty incentive available?No info on loyalty ",Yes
1,Honda,Honda Accord,86,fezzer0014,Member,2,2019-12-26,20:00:49,"Residual, MF, and incentives on Accord EX-L 1.5T 36 mo / 10k in 19380 please ",No
1,Honda,Honda Accord,87,Michaell,Moderator,219539,2019-12-26,20:18:18,"fezzer0014 said:Residual, MF, and incentives on Accord EX-L 1.5T 36 mo / 10k in 19380 please.00150 and 59%$500 incentive ",Yes
1,Honda,Honda Accord,88,DQc4Je,Member,17,2019-12-27,21:06:49,"Hi,Could you please share the MF, RV and Incentive for EX, Hybrid?Planning 10k/36 or 12k/36. Zip code 95050.Thank you and happy holiday! ",No
1,Honda,Honda Accord,89,Michaell,Moderator,219539,2019-12-28,04:19:50,"DQc4Je said:Hi,Could you please share the MF, RV and Incentive for EX, Hybrid?Planning 10k/36 or 12k/36. Zip code 95050.Thank you and happy holiday!36/12Gas - .00150 and 58%; $500 incentivesHYB - .00215 and 58%; no incentives ",Yes
1,Honda,Honda Accord,90,broks95,Member,5,2019-12-28,07:56:15,Can I get the numbers for accord sport 2.0 and touring 2.0?7617715k/36 ,No
1,Honda,Honda Accord,91,kyfdx,Moderator,217095,2019-12-28,15:07:00,broks95 said:Can I get the numbers for accord sport 2.0 and touring 2.0?7617715k/36.00215 MF57%/56% residual for Sport/Touring$500 incentive ,Yes
1,Honda,Honda Accord,92,milleraf,Member,6,2019-12-28,19:05:24,"Hello, Requesting the residual, MF, and Incentives for a 2020 Honda Accord EX-L 1.5L 4 cylinder 36mo/15k in 27332? Thank you! ",No
1,Honda,Honda Accord,93,Michaell,Moderator,219539,2019-12-28,21:42:31,"milleraf said:Hello, Requesting the residual, MF, and Incentives for a 2020 Honda Accord EX-L 1.5L 4 cylinder 36mo/15k in 27332? Thank you!.00215 and 56%$500 incentive ",Yes
1,Honda,Honda Accord,94,Dyce33,Member,2,2019-12-30,04:50:59,helloCould someone please provide MF/RES/Incentive for 2020 accord sport 2.0 Cvt and EX in 32246 for 36m/15k Thanks ,No
1,Honda,Honda Accord,95,Michaell,Moderator,219539,2019-12-30,06:21:15,Dyce33 said:helloCould someone please provide MF/RES/Incentive for 2020 accord sport 2.0 Cvt and EX in 32246 for 36m/15k Thanks.00150 and 58% / 56% for Sport / EX$500 incentive ,Yes
1,Honda,Honda Accord,96,Dyce33,Member,2,2019-12-30,06:47:24,Michaell said: Dyce33 said:helloCould someone please provide MF/RES/Incentive for 2020 accord sport 2.0 Cvt and EX in 32246 for 36m/15k Thanks.00150 and 58% / 56% for Sport / EX$500 incentiveThanks ,Yes
1,Honda,Honda Accord,97,kumarak,Member,3,2019-12-31,00:57:15,Anyone know the RV and MF for the 2020 Honda LX for zip 20152 12k/36m? Thanks in advance ,No
1,Honda,Honda Accord,98,Michaell,Moderator,219539,2019-12-31,05:35:29,kumarak said: Anyone know the RV and MF for the 2020 Honda LX for zip 20152 12k/36m? Thanks in advance .00215 and 59%$500 incentive ,Yes
1,Honda,Honda Accord,99,ML202,Member,1,2019-12-31,14:37:29," Hi, may I, please, have MF, incentives and residual for 2020 Accord EX-L 1.5T 36/12k for zip code 75082? Also is the residual value of the MSRP or negotiated MSRP?Thanks in advance. ",No
1,Honda,Honda Accord,100,rbirns1,Member,311,2019-12-31,16:09:49,".00215 is over 5% interest rate. Pretty steep these days, no? ",No
1,Honda,Honda Accord,101,kyfdx,Moderator,217095,2019-12-31,20:35:53,"ML202 said:Hi, may I, please, have MF, incentives and residual for 2020 Accord EX-L 1.5T 36/12k for zip code 75082? Also is the residual value of the MSRP or negotiated MSRP?Thanks in advance..00215 MF and 58% residual$500 incentive ",Yes
1,Honda,Honda Accord,102,kyfdx,Moderator,217095,2019-12-31,20:36:15,"rbirns1 said:.00215 is over 5% interest rate. Pretty steep these days, no?They are still selling 2019 models. I'd wait ",Yes
1,Honda,Honda Accord,103,WStewartIII,Member,13,2020-01-02,23:48:43,"ML202 said:Also is the residual value of the MSRP or negotiated MSRP?You do not negotiate the MSRP, you negotiate the selling price. Residual is always based on the MSRP ",Yes
1,Honda,Honda Accord,104,wjfennie3,Member,4,2020-01-04,01:03:36,"Hello, can you provide the money factor residual and incentives for 2020 accord sport 2.0 and 1.5 manual transmission. I am a current accord leasee. Zip code 18512 ",No
1,Honda,Honda Accord,105,Michaell,Moderator,219539,2020-01-04,06:07:17,"wjfennie3 said:Hello, can you provide the money factor residual and incentives for 2020 accord sport 2.0 and 1.5 manual transmission. I am a current accord leasee. Zip code 18512Lease term and miles per year? ",Yes
1,Honda,Honda Accord,106,Identify_yourself123,Member,2,2020-01-04,12:50:16,"May I have the MF , residual and incentives on a 2019-2020 accord sport 2.0 and 1.5 02368 zip code 36/15k ",No
1,Honda,Honda Accord,107,kyfdx,Moderator,217095,2020-01-04,15:31:49,"Identify_yourself123 said:May I have the MF , residual and incentives on a 2019-2020 accord sport 2.0 and 1.5 02368 zip code 36/15k2020.00150 MF58%/57% residual for 1.5/2.0$500 incentive2019 model questions go here:https://forums.edmunds.com/discussion/53077/honda/accord/2019-honda-accord-lease-deals-and-prices#latest ",Yes
1,Honda,Honda Accord,108,wjfennie3,Member,4,2020-01-04,22:24:03,"3Y 12k/yr. Michaell said: wjfennie3 said:Hello, can you provide the money factor residual and incentives for 2020 accord sport 2.0 and 1.5 manual transmission. I am a current accord leasee. Zip code 18512Lease term and miles per year?Michaell said: wjfennie3 said:Hello, can you provide the money factor residual and incentives for 2020 accord sport 2.0 and 1.5 manual transmission. I am a current accord leasee. Zip code 18512Lease term and miles per year?",Yes
1,Honda,Honda Accord,109,Michaell,Moderator,219539,2020-01-05,03:25:34,"wjfennie3 said:3Y 12k/yr. Michaell said: wjfennie3 said:Hello, can you provide the money factor residual and incentives for 2020 accord sport 2.0 and 1.5 manual transmission. I am a current accord leasee. Zip code 18512Lease term and miles per year?.00150 and 60% / 59% for 1.5T / 2.0T$500 incentive ",Yes
1,Honda,Honda Accord,110,Orbronco,Member,10,2020-01-06,00:05:26,"Hello, could I get RV, MF and any rebates for 2020 Honda Accord Touring 2.0 in 92557? Thank you ",No
1,Honda,Honda Accord,111,Michaell,Moderator,219539,2020-01-06,03:41:02,"Orbronco said:Hello, could I get RV, MF and any rebates for 2020 Honda Accord Touring 2.0 in 92557? Thank you 36/15.00150 and 56%$500 incentive ",Yes
